iter	RMSE
441	14845.61409
442	14833.50109
443	14807.75246
444	14793.10881
445	14769.95761
446	14744.13672
447	14726.0398
448	14715.60012
449	14696.56291
450	14686.36861
451	14668.91416
452	14657.00276
453	14647.06278
454	14635.4355
455	14626.3212
456	14611.32565
457	14600.10506
458	14577.94954
459	14554.43615
460	14528.03044
461	14514.88537
462	14504.12795
463	14488.76678
464	14460.42453
465	14440.7074
466	14430.00586
467	14405.85396
468	14381.42896
469	14373.51491
470	14352.01202
471	14323.61655
472	14304.96358
473	14292.61714
474	14282.06914
475	14273.35445
476	14252.30601
477	14244.83556
478	14233.66154
479	14213.14919
480	14201.9669
481	14176.67358
482	14157.9495
483	14149.22364
484	14141.07133
485	14129.9445
486	14122.1126
487	14092.64023
488	14076.36587
489	14058.72084
490	14037.48094
491	14015.74299
492	13995.23858
493	13981.9206
494	13954.60713
495	13935.16819
496	13903.34192
497	13884.76318
498	13877.18341
499	13855.95358
500	13839.75909
501	13830.74416
502	13807.32136
503	13794.53114
504	13786.99213
505	13773.70921
506	13760.70859
507	13744.98779
508	13715.61666
509	13697.18088
510	13687.6147
511	13680.34424
512	13674.15803
513	13660.56505
514	13636.7689
515	13606.00271
516	13592.20838
517	13573.83945
518	13564.82603
519	13545.41654
520	13538.35739
521	13518.85248
522	13498.45338
523	13476.27657
524	13468.89664
525	13453.76648
526	13432.85963
527	13422.86121
528	13417.27443
529	13408.0932
530	13396.24554
531	13389.31823
532	13375.62578
533	13369.01052
534	13343.90893
535	13332.74053
536	13323.37984
537	13316.87867
538	13298.5907
539	13288.89908
540	13274.39662
541	13262.09851
542	13255.80782
543	13251.05946
544	13226.25966
545	13221.36561
546	13207.81052
547	13199.76422
548	13183.41278
549	13164.90874
550	13147.88835
551	13129.27901
552	13110.81863
553	13096.10349
554	13085.69194
555	13080.35924
556	13074.6112
557	13070.31331
558	13055.60209
559	13052.31729
560	13044.78321
561	13028.94361
562	13005.30977
563	12985.3882
564	12969.5661
565	12954.93727
566	12929.51934
567	12913.11579
568	12893.02506
569	12868.58021
570	12853.02283
571	12838.89465
572	12825.36183
573	12820.14302
574	12815.08634
575	12794.35354
576	12789.45168
577	12785.73838
578	12781.04803
579	12769.21596
580	12752.56358
581	12738.17428
582	12721.12026
583	12705.2794
584	12696.14444
585	12680.10158
586	12664.49838
587	12652.38979
588	12634.86034
589	12624.72123
590	12609.08758
591	12590.11347
592	12586.58637
593	12565.24137
594	12547.6834
595	12540.40133
596	12531.7583
597	12519.79233
598	12500.19315
599	12496.80833
600	12478.68366
601	12472.36105
602	12462.33986
603	12459.06476
604	12445.8365
605	12435.93373
606	12419.30412
607	12404.05342
608	12399.0985
609	12371.72668
610	12363.24872
611	12356.79231
612	12350.36381
613	12326.31953
614	12318.67466
615	12311.96867
616	12295.91218
617	12292.83093
618	12265.53742
619	12250.94813
620	12240.49646
621	12234.65369
622	12216.04771
623	12213.05088
624	12183.90962
625	12171.54572
626	12158.45074
627	12146.66978
628	12140.34569
629	12128.74422
630	12124.74675
631	12107.71694
632	12095.91684
633	12091.44471
634	12086.65348
635	12083.81196
636	12065.8601
637	12063.07667
638	12051.1352
639	12037.64948
640	12034.80452
641	12014.30417
642	11991.76821
643	11973.48331
644	11951.9635
645	11943.48393
646	11916.14626
647	11901.87795
648	11886.95854
649	11864.56371
650	11860.2502
651	11849.99192
652	11820.40074
653	11803.521
654	11790.39458
655	11787.6397
656	11763.09519
657	11747.37224
658	11736.07934
659	11729.02307
660	11718.03072
661	11705.03915
662	11689.56286
663	11675.47731
664	11671.58674
665	11659.1138
666	11650.40202
667	11644.70221
668	11634.64758
669	11617.14615
670	11594.8442
671	11568.76589
672	11550.98153
673	11548.3363
674	11525.24623
675	11520.66141
676	11509.18104
677	11504.79561
678	11483.84278
679	11460.28838
680	11436.51166
681	11428.9696
682	11419.07676
683	11415.45592
684	11406.94779
685	11386.67417
686	11371.91956
687	11366.77302
688	11341.99426
689	11337.08
690	11320.46542
691	11299.64501
692	11284.11349
693	11277.30033
694	11267.279
695	11252.30856
696	11236.17726
697	11231.21129
698	11221.11668
699	11205.76208
700	11201.03124
701	11195.62806
702	11173.92229
703	11157.33317
704	11152.66266
705	11148.63077
706	11132.15944
707	11111.86883
708	11108.84118
709	11104.33898
710	11100.02818
711	11095.72596
712	11090.81463
713	11073.35613
714	11053.66482
715	11047.17638
716	11031.14422
717	11027.07796
718	11023.14909
719	11005.53499
720	11000.47526
721	10983.96186
722	10971.77211
723	10956.38683
724	10953.45254
725	10950.40502
726	10938.88839
727	10921.45816
728	10902.60344
729	10898.74864
730	10884.76095
731	10863.96326
732	10860.44122
733	10845.43569
734	10828.2774
735	10818.2754
736	10811.84126
737	10799.56517
738	10780.25929
739	10767.20402
740	10763.56327
741	10760.04503
742	10756.1635
743	10743.70143
744	10727.32089
745	10712.59074
746	10702.3846
747	10699.00617
748	10695.7493
749	10681.22656
750	10677.9405
751	10672.83685
752	10666.5653
753	10647.04412
754	10643.97214
755	10628.3771
756	10618.24429
757	10610.73873
758	10602.03012
759	10585.70853
760	10563.46282
761	10554.00003
762	10546.95925
763	10543.88088
764	10532.83186
765	10529.56591
766	10514.83002
767	10512.32897
768	10509.24934
769	10496.84648
770	10494.5832
771	10478.68281
772	10467.58186
773	10451.54773
774	10449.08664
775	10433.95358
776	10426.83559
777	10415.76255
778	10412.92677
779	10410.16375
780	10399.18059
781	10386.93663
782	10376.70359
783	10361.10931
784	10358.78287
785	10350.11388
786	10343.0989
787	10340.16466
788	10327.07589
789	10324.44508
790	10312.89311
791	10311.20126
792	10296.0888
793	10290.36616
794	10288.16622
795	10285.6292
796	10282.94188
797	10267.48471
798	10264.99268
799	10261.38541
800	10259.88323
801	10251.45615
802	10243.11744
803	10240.75929
804	10223.33267
805	10207.59083
806	10202.67867
807	10185.89107
808	10172.46097
809	10170.0035
810	10158.53288
811	10147.13127
812	10135.49727
813	10132.9004
814	10112.34035
815	10107.01467
816	10092.90829
817	10090.44192
818	10074.5572
819	10067.71849
820	10065.16733
821	10059.72938
822	10049.44248
823	10036.08681
824	10023.20532
825	10008.75752
826	10000.51323
827	9997.280888
828	9991.517027
829	9976.115315
830	9973.178891
831	9960.799401
832	9957.851829
833	9939.108673
834	9929.76887
835	9926.899758
836	9922.482107
837	9911.741981
838	9909.384805
839	9897.461235
840	9889.607567
841	9879.155365
842	9870.918487
843	9856.983345
844	9849.174296
845	9840.982715
846	9827.309974
847	9811.939833
848	9800.679725
849	9798.450174
850	9786.981457
851	9773.196839
852	9764.963187
853	9763.117642
854	9745.922001
855	9736.135797
856	9726.366416
857	9724.458806
858	9719.397742
859	9718.036259
860	9716.073524
861	9700.950649
862	9695.461496
863	9679.703904
864	9670.456837
865	9659.729497
866	9650.076465
867	9645.314693
868	9631.601461
869	9622.088758
870	9618.099712
871	9604.213463
872	9594.083956
873	9590.38212
874	9581.425827
875	9580.110935
876	9571.53539
877	9551.979956
878	9534.5835
879	9523.273538
880	9517.509829
881	9506.201219
882	9494.440615
883	9488.521713
884	9478.726325
885	9466.057217
886	9452.047802
887	9449.793518
888	9448.75143
889	9435.257892
890	9433.066895
891	9428.730663
892	9424.611354
893	9416.441768
894	9406.46082
895	9396.797815
896	9390.287346
897	9388.138576
898	9375.592974
899	9362.120116
900	9353.79078
901	9342.397823
902	9332.507088
903	9330.299289
904	9318.360367
905	9312.860321
906	9299.731329
907	9285.329987
908	9275.065802
909	9268.749914
910	9263.761121
911	9247.96578
912	9230.045629
913	9225.00699
914	9207.272632
915	9197.572352
916	9195.884942
917	9193.786672
918	9180.350335
919	9168.024478
920	9162.613713
921	9160.081709
922	9158.50883
923	9150.572411
924	9135.658952
925	9133.334146
926	9126.285143
927	9118.559033
928	9116.477125
929	9101.609356
930	9089.344018
931	9078.120006
932	9076.965461
933	9067.766048
934	9061.064233
935	9054.722778
936	9048.745478
937	9046.965136
938	9042.695305
939	9027.467683
940	9021.723907
941	9011.913419
942	9002.321905
943	8991.102967
944	8975.56744
945	8963.2317
946	8955.005082
947	8948.538016
948	8943.077986
949	8922.325773
950	8920.561047
951	8918.58918
952	8907.137056
953	8901.721515
954	8891.775329
955	8883.837664
956	8872.685215
957	8858.164863
958	8843.327847
959	8836.195895
960	8823.06016
961	8815.761551
962	8805.312802
963	8798.467994
964	8792.878186
965	8782.801398
966	8779.174889
967	8766.843598
968	8763.998103
969	8754.647708
970	8752.446565
971	8742.590292
972	8734.940447
973	8729.959991
974	8728.357344
975	8719.666655
976	8710.776793
977	8699.744996
978	8697.794216
979	8694.329165
980	8691.128563
981	8684.960318
982	8670.730472
983	8662.688892
984	8652.011335
985	8644.822153
986	8641.457724
987	8629.614812
988	8628.051303
989	8619.971213
990	8618.309689
991	8616.689141
992	8613.308209
993	8599.321271
994	8589.699747
995	8587.034217
996	8573.46479
997	8560.500607
998	8556.33834
999	8542.660411
